18禁	18禁 🔞
划艇男	划艇男 🚣🏻‍♂️
列印机	列印机 🖨️
刚果布	刚果布 🇨🇬
刚果金	刚果金 🇨🇩
创可贴	创可贴 🩹
利比亚	利比亚 🇱🇾
别乱讲	别乱讲 🙊️
别乱说	别乱说 🙊️
别出声	别出声 🤫
别在意	别在意 🙏🏻
别墅区	别墅区 🏘️
别烦我	别烦我 😑️
别理我	别理我 😑️
别说了	别说了 🤐️ 🫢
别说话	别说话 🤫
别骗我	别骗我 😳️
刮胡刀	刮胡刀 🪒
剃头女	剃头女 💇🏻‍♀️
剃头男	剃头男 💇🏻‍♂️
剃须刀	剃须刀 🪒
剪刀手	剪刀手 ✌️
剪切板	剪切板 📋️
剪发女	剪发女 💇🏻‍♀️
剪发男	剪发男 💇🏻‍♂️
剪头发	剪头发 💇‍♂️ 💇‍♀️
剪贴板	剪贴板 📋
办公楼	办公楼 🏢
加冕女	加冕女 👸🏻
加冕男	加冕男 🤴🏻
加勒比	加勒比 🇧🇶
加拿大	加拿大 🇨🇦
加油站	加油站 ⛽
加速度	加速度 ㎨
助听器	助听器 🦻
劳工女	劳工女 👩🏻‍🏭
劳工男	劳工男 👨🏻‍🏭
包装盒	包装盒 🎁
匈牙利	匈牙利 🇭🇺
化妆室	化妆室 🚻️
化学家	化学家 👨‍🔬 👩‍🔬
化粧室	化粧室 🚻️
北朝鲜	北朝鲜 🇰🇵
北极熊	北极熊 🐻‍❄️
匹诺曹	匹诺曹 🤥
医生女	医生女 👩🏻‍⚕️
医生男	医生男 👨🏻‍⚕️
医者女	医者女 👩🏻‍⚕️
医者男	医者男 👨🏻‍⚕️
十一点	十一点 🕚
十二点	十二点 🕛
十八禁	十八禁 🔞
十字架	十字架 ✝️
十字镐	十字镐 ⛏️
十点半	十点半 🕥
十点钟	十点钟 🕙
升降机	升降机 🛗
半兽人	半兽人 🧌
半身像	半身像 👤 👥
华夫饼	华夫饼 🧇
华氏度	华氏度 ℉
单选框	单选框 🔘
卖艺女	卖艺女 🤹🏻‍♀️
卖艺男	卖艺男 🤹🏻‍♂️
南朝鲜	南朝鲜 🇰🇷
南极洲	南极洲 🇦🇶
南瓜人	南瓜人 🎃️
南瓜头	南瓜头 🎃
南瓜灯	南瓜灯 🎃
南瓜脸	南瓜脸 🎃️
南苏丹	南苏丹 🇸🇸
博士女	博士女 👩🏻‍🎓
博士男	博士男 👨🏻‍🎓
博奈尔	博奈尔 🇧🇶
博物馆	博物馆 🏛
卡塔尔	卡塔尔 🇶🇦
卡士达	卡士达 🍮️
卡片盒	卡片盒 🗃
卡路里	卡路里 ㎈ ㎉ ㌍
卢安达	卢安达 🇷🇼
卢旺达	卢旺达 🇷🇼
卢森堡	卢森堡 🇱🇺
卫士女	卫士女 💂🏻‍♀️
卫士男	卫士男 💂🏻‍♂️
卫生纸	卫生纸 🧻
卫生间	卫生间 🚻 🚾
卫门女	卫门女 💂🏻‍♀️
卫门男	卫门男 💂🏻‍♂️
印刷机	印刷机 🖨
印度庙	印度庙 🛕
印度教	印度教 🕉️ 🛕
卷发女	卷发女 👩‍🦱
卷曲环	卷曲环 ➰
卷毛狗	卷毛狗 🐩
厄瓜多	厄瓜多 🇪🇨
压路机	压路机 🚜️
厕所泵	厕所泵 🪠
原子弹	原子弹 ☢️
原子笔	原子笔 🖊️
原子能	原子能 ⚛️
原谅我	原谅我 🙏🏻️
厨子女	厨子女 👩🏻‍🍳
厨子男	厨子男 👨🏻‍🍳
厨师女	厨师女 👩🏻‍🍳
厨师男	厨师男 👨🏻‍🍳
参禅女	参禅女 🧘🏻‍♀️
参禅男	参禅男 🧘🏻‍♂️
双人像	双人像 👥
双叹号	双叹号 ‼️
双子座	双子座 ♊
双耳瓶	双耳瓶 🏺
双肩包	双肩包 🎒
双胞胎	双胞胎 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
双鱼座	双鱼座 ♓
发件匣	发件匣 📤️
发件箱	发件箱 📤
发传真	发传真 📠
发红包	发红包 🧧
发邮件	发邮件 📤
取款机	取款机 🏧
受伤了	受伤了 🤕️
变形虫	变形虫 🦠
叙利亚	叙利亚 🇸🇾
古建筑	古建筑 🏛
可回收	可回收 ♻️
台式机	台式机 🖥️
史巴克	史巴克 🖖🏻️
史波克	史波克 🖖🏻️
右勾拳	右勾拳 🤛🏻
右向拳	右向拳 🤜
右手边	右手边 👉🏻️
右箭头	右箭头 ➡️ →
右钩拳	右钩拳 🤛
叹问号	叹问号 ⁉️
吃比萨	吃比萨 🍕
各种星	各种星 ★ ☆ ⛤ ⛥ ⛦ ⛧ ✡ ❋ ❊ ❉ ❈ ❇ ❆ ❅ ❄ ❃ ❂ ❁ ❀ ✿ ✾ ✽ ✼ ✻ ✺ ✹ ✸ ✷ ✶ ✵ ✴ ✳ ✲ ✱ ✰ ✯ ✮ ✭ ✬ ✫ ✪ ✩ ✧ ✦ ✥ ✤ ✣ ✢
各种车	各种车 🚗️ 🚕 🚙 🚌 🚎 🏎 🚓 🚑 🚒 🚐 🚚 🚛 🛻 🚔 🚍 🚘 🚖 🛺
吉布地	吉布地 🇩🇯
吉布提	吉布提 🇩🇯
同学女	同学女 👩🏻‍🎓
同学男	同学男 👨🏻‍🎓
同性恋	同性恋 👨‍❤️‍👨 👩‍❤️‍👩
同性旗	同性旗 🏳️‍🌈
吐出来	吐出来 🤮
吐瓦鲁	吐瓦鲁 🇹🇻
吐舌头	吐舌头 😛 😜 😝
向上指	向上指 👆
向下指	向下指 👇
向右指	向右指 👉
向右推	向右推 🫸
向左指	向左指 👈
向左推	向左推 🫷
向日葵	向日葵 🌻
向钱看	向钱看 🤑️
向阳花	向阳花 🌻
吓死了	吓死了 😱
听不懂	听不懂 😵️
听不见	听不见 🧏🏻 🙉
听唔到	听唔到 🙉️
听诊器	听诊器 🩺
听音乐	听音乐 🎧️
吸管杯	吸管杯 🥤
吸血鬼	吸血鬼 🧛‍♂️ 🧛‍♀️
吸铁石	吸铁石 🧲
吹口气	吹口气 🌬
呜呜呜	呜呜呜 😖️
和平鸽	和平鸽 🕊️
咖啡杯	咖啡杯 ☕
咖喱饭	咖喱饭 🍛
咧嘴笑	咧嘴笑 😁
咬嘴唇	咬嘴唇 🫦
哈哈哈	哈哈哈 🤣
哈密瓜	哈密瓜 🍈
哈萨克	哈萨克 🇰🇿
哥俩好	哥俩好 👬🏻️
哥布林	哥布林 👺
哭泣猫	哭泣猫 😿
唔好讲	唔好讲 🙊️
唔畀听	唔畀听 🙉️
唔畀睇	唔畀睇 🙈️
唔畀讲	唔畀讲 🙊️
唔知女	唔知女 🤷🏻‍♀️
唔知男	唔知男 🤷🏻‍♂️
啤酒肚	啤酒肚 🫃
啦啦队	啦啦队 👯🏻 🥳
啪啪啪	啪啪啪 👏
喀麦隆	喀麦隆 🇨🇲
喂奶女	喂奶女 👩🏻‍🍼
喂奶男	喂奶男 👨🏻‍🍼
喇叭筒	喇叭筒 📣
喜欢你	喜欢你 😍️ 😻️
喜马红	喜马红 🧉
喝咖啡	喝咖啡 ☕
喝多了	喝多了 🥴
喝醉了	喝醉了 🥴
喵喵叫	喵喵叫 🐱
喵喵喵	喵喵喵 🐱
嘟嘟车	嘟嘟车 🛺
噘嘴女	噘嘴女 🙎🏻‍♀️
噘嘴猫	噘嘴猫 😾
噘嘴男	噘嘴男 🙎🏻‍♂️
四叶草	四叶草 🍀
四方帽	四方帽 🎓
四点半	四点半 🕟
四点钟	四点钟 🕓
四脚蛇	四脚蛇 🦎
四角裤	四角裤 🩳
四边形	四边形 ⎕ ⏥
回力棒	回力棒 🪃
回力镖	回力镖 🪃
回形针	回形针 📎 🖇
回旋镖	回旋镖 🪃
回电话	回电话 🤙
团圆饼	团圆饼 🥮
国民党	国民党 ❂
图瓦卢	图瓦卢 🇹🇻
圆图钉	圆图钉 📍
圆珠笔	圆珠笔 🖊
圆白菜	圆白菜 🥬
土库曼	土库曼 🇹🇲
土耳其	土耳其 🇹🇷
圣甲虫	圣甲虫 🪲
圣诞岛	圣诞岛 🇨🇽
圣诞树	圣诞树 🎄
圣诞节	圣诞节 🎅 🤶 🧑‍🎄
圣马丁	圣马丁 🇸🇽
圭亚那	圭亚那 🇬🇾
地下铁	地下铁 🚇️
地球仪	地球仪 🌍 🌎 🌏
场记板	场记板 🎬
坏蛋女	坏蛋女 🦹🏻‍♀️
坏蛋男	坏蛋男 🦹🏻‍♂️
坐轮椅	坐轮椅 👨‍🦽
坐雪橇	坐雪橇 🛷
垃圾桶	垃圾桶 🗑
垃圾筒	垃圾筒 🗑️
垃圾篓	垃圾篓 🗑
培养基	培养基 🧫
培养皿	培养皿 🧫
基督教	基督教 ✝️
堆雪人	堆雪人 ⛄
堵耳朵	堵耳朵 🙉
塔吉克	塔吉克 🇹🇯
塞席尔	塞席尔 🇸🇨
塞舌尔	塞舌尔 🇸🇨
墨西哥	墨西哥 🇲🇽
壁炉钟	壁炉钟 🕰
处女座	处女座 ♍
备忘录	备忘录 📝
复活岛	复活岛 🗿
复选框	复选框 ☑️
外卖桶	外卖桶 🥡
外卖盒	外卖盒 🥡
外星人	外星人 👽
外蒙古	外蒙古 🇲🇳
多选框	多选框 ☑️
夜总会	夜总会 🪩
大公鸡	大公鸡 🐓
大卡车	大卡车 🚛
大厨女	大厨女 👩🏻‍🍳
大厨男	大厨男 👨🏻‍🍳
大反派	大反派 🦹‍♂️ 🦹‍♀️
大喇叭	大喇叭 📣
大头针	大头针 📍
大头钉	大头钉 📌️
大学生	大学生 👨‍🎓 👩‍🎓
大小王	大小王 🃏
大拇指	大拇指 👍 👎
大方块	大方块 ◾ ◽
大母鸡	大母鸡 🐓
大法官	大法官 🧑🏻‍⚖️
大洋洲	大洋洲 🌏️
大灰狼	大灰狼 🐺️
大熊猫	大熊猫 🐼
大状女	大状女 👩🏻‍⚖️
大状男	大状男 👨🏻‍⚖️
大猩猩	大猩猩 🦍
大白兔	大白兔 🐇
大白菜	大白菜 🥬
大白鲨	大白鲨 🦈
大米饭	大米饭 🍚
大老鼠	大老鼠 🐀️
大肚子	大肚子 🤰 🫃
大胡子	大胡子 🧔🏻
大菱形	大菱形 🔶 🔷
大野牛	大野牛 🦬
大闸蟹	大闸蟹 🦀️
大音量	大音量 🔊
大麻烦	大麻烦 🤦🏻
天妇罗	天妇罗 🍤
天枰座	天枰座 ♎️
天秤座	天秤座 ♎
天蝎座	天蝎座 ♏
太可怕	太可怕 😨️
太好了	太好了 🙆🏻
太差了	太差了 👎
太差啦	太差啦 👎
太感谢	太感谢 🙏🏻️
太棒了	太棒了 👍
太棒啦	太棒啦 👍
太空人	太空人 🧑🏻‍🚀
太阳㡌	太阳㡌 🧢
太阳伞	太阳伞 🏖
太阳神	太阳神 🌞️
太阳花	太阳花 🌻
太阳菊	太阳菊 🌼️
太阳镜	太阳镜 😎 🕶
太难了	太难了 😵️
失聪者	失聪者 🧏‍♂️ 🧏‍♀️
头大女	头大女 🤦🏻‍♀️
头大男	头大男 🤦🏻‍♂️
头巾女	头巾女 👳🏾‍♀️
头巾男	头巾男 👳🏾‍♂️
头爆炸	头爆炸 🤯
头疼女	头疼女 🤦🏻‍♀️
头疼男	头疼男 🤦🏻‍♂️
夹克衫	夹克衫 🧥
奇异果	奇异果 🥝
奇怪了	奇怪了 🤔
奔跑女	奔跑女 🏃🏻‍♀️
奔跑男	奔跑男 🏃🏻‍♂️
奥地利	奥地利 🇦🇹
女丧尸	女丧尸 🧟‍♀️
女侦探	女侦探 🕵️‍♀️
女僵尸	女僵尸 🧟‍♀️
女儿节	女儿节 🎎️
女医生	女医生 👩‍⚕️
女卫兵	女卫兵 💂‍♀️
女卫士	女卫士 💂‍♀️
女厕所	女厕所 🚺
女厨师	女厨师 👩‍🍳
女反派	女反派 🦹‍♀️
女坏蛋	女坏蛋 🦹‍♀️
女大夫	女大夫 👩‍⚕️
女学生	女学生 👩‍🎓
女工人	女工人 👷‍♀️
女技工	女技工 👩‍🔧
女教师	女教师 👩‍🏫
女新郎	女新郎 🤵‍♀️
女歌手	女歌手 👩‍🎤
女法官	女法官 👩‍⚖️
女法师	女法师 🧙‍♀️
女灯神	女灯神 🧞‍♀️
女电工	女电工 👩‍🔧
女画家	女画家 👩‍🎨
女白领	女白领 👩‍💼
女码农	女码农 👩‍💻
女码畜	女码畜 👩‍💻
女精灵	女精灵 🧝‍♀️
女老师	女老师 👩‍🏫
女职员	女职员 👩‍💼
女衬衫	女衬衫 👚
女警官	女警官 👮‍♀️
女警察	女警察 👮‍♀️
女超人	女超人 🦸‍♀️
好兄弟	好兄弟 👬
好可怕	好可怕 😨️
好基友	好基友 👬
好复杂	好复杂 🤔️
好好笑	好好笑 😆️
好学生	好学生 🤓️
好崇拜	好崇拜 🤩
好无聊	好无聊 😴️
好纠结	好纠结 😂️ 😹️
好难过	好难过 😩️
妊娠女	妊娠女 🤰🏻
妊娠男	妊娠男 🫃🏻
姓名牌	姓名牌 📛
委屈女	委屈女 🙎🏻‍♀️
委屈男	委屈男 🙎🏻‍♂️
威士忌	威士忌 🥃
威尔士	威尔士 🏴󠁧󠁢󠁷󠁬󠁳󠁿
娥眉月	娥眉月 🌒️
婚纱男	婚纱男 👰🏻‍♂️
子午线	子午线 🌐
子弹头	子弹头 🚅️
孟加拉	孟加拉 🇧🇩
学士女	学士女 👩🏻‍🎓
学士帽	学士帽 🎓
学士男	学士男 👨🏻‍🎓
学生女	学生女 👩🏻‍🎓
学生男	学生男 👨🏻‍🎓
孵化器	孵化器 🐣️
宇航员	宇航员 👨‍🚀 👩‍🚀
守卫女	守卫女 💂🏻‍♀️
守卫男	守卫男 💂🏻‍♂️
安全帽	安全帽 ⛑️
安哥拉	安哥拉 🇦🇴
安圭拉	安圭拉 🇦🇮
安道尔	安道尔 🇦🇩
定时器	定时器 ⏲
实验服	实验服 🥼
宠物犬	宠物犬 🐕‍🦺
宠物狗	宠物狗 🐕‍🦺
室女座	室女座 ♍️
害怕猫	害怕猫 🙀
家禽腿	家禽腿 🍗
宽檐帽	宽檐帽 👒
寄生虫	寄生虫 🪱
富士山	富士山 🗻
对不对	对不对 😈️
对不起	对不起 🙇‍♂️ 🙇‍♀️
对话框	对话框 💬 🗯 💭
寻呼机	寻呼机 📟
导盲杖	导盲杖 🦯
导盲犬	导盲犬 🦮
射手座	射手座 ♐
将军肚	将军肚 🫃
小三角	小三角 🔺️ 🔻️
小丑牌	小丑牌 🃏
小丑脸	小丑脸 🤡
小仙女	小仙女 🧚‍♀️
小仙子	小仙子 🧚‍♂️ 🧚‍♀️
小兔子	小兔子 🐇
小公主	小公主 👸
小圆点	小圆点 ⚪
小声点	小声点 🤫
小天使	小天使 👼
小女孩	小女孩 👧
小孩儿	小孩儿 🧒
小孩子	小孩子 🧒
小宝贝	小宝贝 👶
小推车	小推车 🛒
小提琴	小提琴 🎻
小方块	小方块 ▪ ▫
小方片	小方片 🔸 🔹
小朋友	小朋友 🧒
小气鬼	小气鬼 🙁️
小汽车	小汽车 🚗 🚘
小浣熊	小浣熊 🦝
小点声	小点声 🤫
小猫咪	小猫咪 🐱 🐈
小王子	小王子 🤴
小电驴	小电驴 🛵
小男孩	小男孩 👦
小白兔	小白兔 🐇
小白方	小白方 ▫️
小白框	小白框 ⬜
小白点	小白点 ⚪
小白菜	小白菜 🥬
小白鼠	小白鼠 🐁
小盆友	小盆友 🧒
小精灵	小精灵 🧚‍♂️ 🧚‍♀️
小红书	小红书 📕
小苹果	小苹果 🍎 🍏
小菱形	小菱形 🔸 🔹
小蘑菇	小蘑菇 🍄
小蛋糕	小蛋糕 🍰️
小蜜蜂	小蜜蜂 🐝
小行星	小行星 💫️
小轿车	小轿车 🚗 🚘
小飞机	小飞机 🛩️
小鱼儿	小鱼儿 🐟
小鸡头	小鸡头 🐤
小鸡鸡	小鸡鸡 🐥
小鸭子	小鸭子 🦆
小黑方	小黑方 ▪️
小黑框	小黑框 ⬛
小黑点	小黑点 ⚫
小黑猫	小黑猫 🐈‍⬛
小龙虾	小龙虾 🦞
尚比亚	尚比亚 🇿🇲
就是你	就是你 🫵
就那样	就那样 😌️ 😏️ 😼️
尼德兰	尼德兰 🇳🇱
尼日尔	尼日尔 🇳🇪
尼泊尔	尼泊尔 🇳🇵
居民区	居民区 🏘
居酒屋	居酒屋 🏮
山地车	山地车 🚵‍♂️ 🚵‍♀️
崇拜女	崇拜女 🙇🏻‍♀️
崇拜男	崇拜男 🙇🏻‍♂️
工人女	工人女 👩🏻‍🏭 👷🏻‍♀️
工人男	工人男 👨🏻‍🏭 👷🏻‍♂️
工作犬	工作犬 🐕‍🦺
工具盒	工具盒 🛠️ 🧰
工具箱	工具箱 🧰
工字钉	工字钉 📌️
工程师	工程师 👷🏻 🧑🏻‍💻
左勾拳	左勾拳 🤜🏻
左向拳	左向拳 🤛
左手边	左手边 👈🏻️
左箭头	左箭头 ⬅️ ←
左钩拳	左钩拳 🤜
巧克力	巧克力 🍫
巨石像	巨石像 🗿️
巨蟹座	巨蟹座 ♋
差人女	差人女 👮🏻‍♀️
差人男	差人男 👮🏻‍♂️
巴哈马	巴哈马 🇧🇸
巴士站	巴士站 🚏️
巴拉圭	巴拉圭 🇵🇾
巴拿马	巴拿马 🇵🇦
巴西茶	巴西茶 🧉
巴贝多	巴贝多 🇧🇧
布告牌	布告牌 🪧
布维岛	布维岛 🇧🇻
布隆迪	布隆迪 🇧🇮
布韦岛	布韦岛 🇧🇻
帕斯卡	帕斯卡 ㎩ ㍱ ㎪ ㎫ ㎬
带骨肉	带骨肉 🍖
常青树	常青树 🌲
干得好	干得好 👍
干脆面	干脆面 🦝
平底杯	平底杯 🥃
平底锅	平底锅 🍳
平底鞋	平底鞋 🥿
平方米	平方米 ㎡
幸运草	幸运草 🍀️
幸运饼	幸运饼 🥠
库拉索	库拉索 🇨🇼
废纸箩	废纸箩 🚮️
废纸篓	废纸篓 🗑
康加鼓	康加鼓 🪘
建筑工	建筑工 👷‍♂️ 👷‍♀️
建设中	建设中 🏗️
开心猫	开心猫 😺
开淫趴	开淫趴 🥳
开玩笑	开玩笑 😝
开银趴	开银趴 🥳
开香槟	开香槟 🍾
弓和箭	弓和箭 🏹
录像带	录像带 📼
录像机	录像机 📹️
录影带	录影带 📼
录影机	录影机 📹️
录音带	录音带 📼️
彩虹旗	彩虹旗 🏳️‍🌈
往上指	往上指 👆
往下指	往下指 👇
往右指	往右指 👉
往左指	往左指 👈
律师女	律师女 👩🏻‍⚖️
律师男	律师男 👨🏻‍⚖️
得意猫	得意猫 😼
微生物	微生物 🦠
微笑猫	微笑猫 😸
德古拉	德古拉 🧛‍♂️ 🧛‍♀️
德意志	德意志 🇩🇪
心之舞	心之舞 💞️
心叹号	心叹号 ❣️
心连心	心连心 💞
快递盒	快递盒 📦️
快餐盒	快餐盒 🍱
怀孕女	怀孕女 🤰🏻
怀孕男	怀孕男 🫃🏻
怎么会	怎么会 😢️ 😿️
怎么样	怎么样 😏️
急救车	急救车 🚑
恐惧猫	恐惧猫 🙀
恶魔眼	恶魔眼 🧿
悄悄地	悄悄地 🤫
悠悠球	悠悠球 🪀
惊叹号	惊叹号 ❗ ❕
想一想	想一想 🤔
想不通	想不通 🤔️
意大利	意大利 🇮🇹
感叹号	感叹号 ❗ ❕
感恩节	感恩节 🦃️
慢吞吞	慢吞吞 🦥
慢走女	慢走女 🚶🏻‍♀️
慢走男	慢走男 🚶🏻‍♂️
憋屈女	憋屈女 🙎🏻‍♀️
憋屈男	憋屈男 🙎🏻‍♂️
戏法女	戏法女 🤹🏻‍♀️
戏法男	戏法男 🤹🏻‍♂️
成年人	成年人 🧑🏻
我不听	我不听 🙉
我不看	我不看 🙈
我想想	我想想 🤔
我服了	我服了 🤦‍♂️ 🤦‍♀️
我爱你	我爱你 🤟
我的天	我的天 😱️ 🙀️
我知道	我知道 🙋‍♂️ 🙋‍♀️
戴口罩	戴口罩 😷
戴头巾	戴头巾 👳‍♂️ 👳‍♀️
房屋群	房屋群 🏘
所以呢	所以呢 🤷🏻
手拉手	手拉手 🧑‍🤝‍🧑
手拿包	手拿包 👝
手推车	手推车 🛒
手提包	手提包 👜
手球女	手球女 🤾🏻‍♀️
手球男	手球男 🤾🏻‍♂️
手电筒	手电筒 🔦
手风琴	手风琴 🪗
扑克牌	扑克牌 🎴
打印机	打印机 🖨
打呵欠	打呵欠 🥱
打哈欠	打哈欠 🥱
打响指	打响指 🫰
打喷嚏	打喷嚏 🤧
打坐女	打坐女 🧘🏻‍♀️
打坐男	打坐男 🧘🏻‍♂️
打对钩	打对钩 ☑️
打手球	打手球 🤾‍♂️ 🤾‍♀️
打扑克	打扑克 🃏️
打招呼	打招呼 🙋🏻
打板球	打板球 🏏️
打死你	打死你 👊🏻️
打水战	打水战 🔫️
打游戏	打游戏 🎮️
打滚儿	打滚儿 🤣
打球女	打球女 ⛹🏻‍♀️
打球男	打球男 ⛹🏻‍♂️
打电话	打电话 🤙
打疫苗	打疫苗 💉️
打瞌睡	打瞌睡 😪
打算盘	打算盘 🧮
打篮球	打篮球 ⛹️‍♂️ ⛹️‍♀️
打给我	打给我 🤙
打麻将	打麻将 🀄️
打麻雀	打麻雀 🀄️
扔垃圾	扔垃圾 🚮
托克劳	托克劳 🇹🇰
扩音器	扩音器 📣️ 📢
扬声器	扬声器 🔈 🔉 🔊
批萨饼	批萨饼 🍕
技工女	技工女 👩🏻‍🔧
技工男	技工男 👨🏻‍🔧
技师女	技师女 👩🏻‍🔧
技师男	技师男 👨🏻‍🔧
技术员	技术员 👨‍💻 👩‍💻
把戏女	把戏女 🤹🏻‍♀️
把戏男	把戏男 🤹🏻‍♂️
投票箱	投票箱 🗳
抛媚眼	抛媚眼 😉
护士女	护士女 👩🏻‍⚕️
护士服	护士服 🥼
护士男	护士男 👨🏻‍⚕️
护目镜	护目镜 🥽
护肤霜	护肤霜 🧴
护身符	护身符 🧿
报纸卷	报纸卷 🗞
抱一抱	抱一抱 🤗️
拉丁文	拉丁文 🔠 🔡
拉便便	拉便便 💩
拉大便	拉大便 💩
拉粑粑	拉粑粑 💩
拍电影	拍电影 🎬
拖拉机	拖拉机 🚜
招呼女	招呼女 🙋🏻‍♀️
招呼男	招呼男 🙋🏻‍♂️
招手女	招手女 🙋🏻‍♀️
招手男	招手男 🙋🏻‍♂️
拼图块	拼图块 🧩
拼块儿	拼块儿 🧩
指北针	指北针 🧭
指南针	指南针 🧭
指甲油	指甲油 💅
指着你	指着你 🫵
按摩女	按摩女 💆🏻‍♀️
按摩师	按摩师 💆🏻
按摩男	按摩男 💆🏻‍♂️
捂嘴巴	捂嘴巴 🤭 🙊
捂嘴笑	捂嘴笑 🤭
捂耳朵	捂耳朵 🙉
捏手指	捏手指 🤌
捕鼠器	捕鼠器 🪤
探长女	探长女 🕵🏻‍♀️
探长男	探长男 🕵🏻‍♂️
提款机	提款机 🏧
提示牌	提示牌 🪧
摄像机	摄像机 🎥 📹
摄录机	摄录机 🎥
摄影机	摄影机 🎥
摄氏度	摄氏度 ℃
摊手女	摊手女 🤷🏻‍♀️
摊手男	摊手男 🤷🏻‍♂️
摩天轮	摩天轮 🎡
摩托艇	摩托艇 🛥
摩托车	摩托车 🏍
摩洛哥	摩洛哥 🇲🇦
摩纳哥	摩纳哥 🇲🇨
摩羯座	摩羯座 ♑
撒哈拉	撒哈拉 🇪🇭
操你妈	操你妈 🤬
操控杆	操控杆 🕹
擤鼻子	擤鼻子 🤧
擤鼻涕	擤鼻涕 🤧
攀岩女	攀岩女 🧗🏻‍♀️
攀岩男	攀岩男 🧗🏻‍♂️
攀岩者	攀岩者 🧗‍♂️ 🧗‍♀️
攀登女	攀登女 🧗🏻‍♀️
攀登男	攀登男 🧗🏻‍♂️
收件匣	收件匣 📥️
收件箱	收件箱 📥
收邮件	收邮件 📥
收音机	收音机 📻
放大镜	放大镜 🔍 🔎
放射性	放射性 ☢️
放射线	放射线 ☢️
放映机	放映机 📽
放风筝	放风筝 🪁
救护车	救护车 🚑
救救我	救救我 🆘
救火车	救火车 🚒
救火队	救火队 🧑🏻‍🚒
救生圈	救生圈 🛟
救生服	救生服 🦺
救生衣	救生衣 🦺
教书女	教书女 👩🏻‍🏫
教书男	教书男 👨🏻‍🏫
教学楼	教学楼 🏫
教师女	教师女 👩🏻‍🏫
教师男	教师男 👨🏻‍🏫
教科书	教科书 📗
文件夹	文件夹 📁 📂
文件柜	文件柜 🗄
文件档	文件档 📃️
文件袋	文件袋 🗂️
斑鸠琴	斑鸠琴 🪕
斯波克	斯波克 🖖
斯诺克	斯诺克 🎱️
新加坡	新加坡 🇸🇬
新娘子	新娘子 👰‍♀️
新娘男	新娘男 👰🏻‍♂️
新干线	新干线 🚄 🚅
新疆瓜	新疆瓜 🍈
新西兰	新西兰 🇳🇿
新邮件	新邮件 📨
新郎女	新郎女 🤵🏻‍♀️
方便袋	方便袋 🛍
方程式	方程式 🏎️
施工中	施工中 🚧
无人岛	无人岛 🏝
无助女	无助女 🙍🏻‍♀️
无助男	无助男 🙍🏻‍♂️
无尾熊	无尾熊 🐨
无所谓	无所谓 😌️ 🤷🏻
无望女	无望女 🙍🏻‍♀️
无望男	无望男 🙍🏻‍♂️
无穷大	无穷大 ♾️
无线电	无线电 📻
无线网	无线网 🛜
无邮件	无邮件 📪️
无障碍	无障碍 ♿️
日本国	日本国 🇯🇵
日记本	日记本 📔 📓 📒
旧房子	旧房子 🏚️
旧钥匙	旧钥匙 🗝
早上好	早上好 🙂️
旱冰鞋	旱冰鞋 🛼
明星女	明星女 👩🏻‍🎤
明星男	明星男 👨🏻‍🎤
星号键	星号键 *️⃣
星星眼	星星眼 🤩
星条旗	星条旗 🇺🇸
显微镜	显微镜 🔬
显示器	显示器 🖥
显示屏	显示屏 🖥
晓不得	晓不得 😲️ 🤷🏻
曲别针	曲别针 📎 🖇
曲棍球	曲棍球 🏑
曳引机	曳引机 🚜️
曼哈顿	曼哈顿 🗽️
月弯弯	月弯弯 🌛️ 🌜️
有邮件	有邮件 📫️
有钱人	有钱人 💰️
服务员	服务员 💁‍♂️ 💁‍♀️
服务犬	服务犬 🐕‍🦺
服务费	服务费 🈂️
服务铃	服务铃 🛎
望远镜	望远镜 🔭
木槿花	木槿花 🌺
未成年	未成年 🔞
未睡醒	未睡醒 😵‍💫
未瞓醒	未瞓醒 😵‍💫
本科生	本科生 👨‍🎓 👩‍🎓
朱古力	朱古力 🍫
机器人	机器人 🤖
机器腿	机器腿 🦿
机器臂	机器臂 🦾
机械腿	机械腿 🦿
机械臂	机械臂 🦾
机长女	机长女 👩🏻‍✈️
机长男	机长男 👨🏻‍✈️
杂技女	杂技女 🤹🏻‍♀️
杂技男	杂技男 🤹🏻‍♂️
杠铃女	杠铃女 🏋🏻‍♀️
杠铃男	杠铃男 🏋🏻‍♂️
条子女	条子女 👮🏻‍♀️
条子男	条子男 👮🏻‍♂️
条形图	条形图 📊
来一根	来一根 🚬
来电了	来电了 📲
来邮件	来邮件 📨️
松口气	松口气 😌
板儿砖	板儿砖 🧱
板儿鞋	板儿鞋 👟
板球拍	板球拍 🏏
板球棒	板球棒 🏏️
果汁盒	果汁盒 🧃
枫树叶	枫树叶 🍁
架子鼔	架子鼔 🥁
柔道女	柔道女 🤼🏻‍♀️
柔道服	柔道服 🥋
柔道男	柔道男 🤼🏻‍♂️
柬埔寨	柬埔寨 🇰🇭
柱形图	柱形图 📊
柱状图	柱状图 📊
标签页	标签页 📑
标语牌	标语牌 🪧
树袋熊	树袋熊 🐨
核子弹	核子弹 ☢️
核子能	核子能 ⚛️
核武器	核武器 ☢️
核辐射	核辐射 ☢️
根西岛	根西岛 🇬🇬
格子旗	格子旗 🏁
格子饼	格子饼 🧇
